palavra,divisao,significado, fonte
Água,Á-gua,Líquido incolor e inodoro; composto de hidrogênio e oxigênio; H2O., www.dicio.com.br/agua/
Ar,Ar,Fluído gasoso que compõe a atmosfera. Camada de gases que envolve um planeta composto por nitrogênio e oxigênio., www.dicio.com.br/ar/
Amazônia,A-ma-zô-ni-a,Floresta Amazônica. Maior floresta tropical em extensão territorial do mundo (cerca de 6.9 milhões de km²) e abrange nove países sul-americanos (Brasil - Bolívia - Colômbia - Equador - Venezuela - Guiana - Guiana Francesa - Peru - Suriname)., www.dicio.com.br/amazonia/
Aquecimento Global,A-que-ci-men-to glo-bal,Alteração climática evidenciada pelo: Aumento da temperatura média global do planeta terra - ar - Oceanos e pelo derretimento do gelo e da neve; Ocasionando um aumento do nível do mar., www.dicio.com.br/aquecimento-global/
Agroecologia,A-gro-e-co-lo-gi-a,Campo do conhecimento de natureza multidisciplinar cujos ensinamentos pretendem contribuir na construção de estilos de agricultura de base ecológica e na elaboração de estratégias de desenvolvimento rural; tendo como referência os ideais da sustentabilidade numa perspectiva multidimensional., www.embrapa.br/agencia-de-informacao-tecnologica/tematicas/agricultura-e-meio-ambiente/politicas/agroecologia 
Avaliação Ambiental,A-va-li-a-ção am-bi-en-tal,Processo de identificação de impactos ambientais e de alternativas que os minimizem na implantação de políticas e projetos governamentais. A avaliação será utilizada na elaboração das propostas dessas ações estratégicas; sistematizando os resultados e sua utilização para tomadas de decisão ambientalmente sustentáveis., meioambiente.mg.gov.br/w/avaliacao-ambiental-estrategica-2
Área de Preservação,Á-re-a de pre-ser-va-ção,Área protegida e coberta ou não por vegetação nativa. Tem a função ambiental de preservar os: Recursos hídricos; Paisagem; Estabilidade geológica; Biodiversidade. Facilitando o fluxo gênico de fauna e flora e protegendo o solo a fim de assegurar o bem-estar ambiental e das populações humanas., www.embrapa.br/codigo-florestal/entenda-o-codigo-florestal/area-de-preservacao-permanente
Aterro Sanitário,A-ter-ro sa-ni-tá-ri-o,Espaço destinado à deposição final de resíduos sólidos gerados pela atividade humana provenientes de: Residências; Indústrias; Hospitais; Construções. Consiste em camadas alternadas de lixo e terra que evita mau cheiro e a proliferação de animais., bit.ly/3IgU58y
Atmosfera,At-mos-fe-ra,Camada gasosa que envolve a Terra. Constituída basicamente por azoto e oxigénio e dividida em várias zonas com base na temperatura., www.infopedia.pt/dicionarios/lingua-portuguesa/atmosfera
